Item ID,GUID,Name,Number,Imported ID,Base Price,Created Date,Archived,Modifier,SKU,PLU
4.000000282989E+017,000518b8-edc9-45c9-a25a-5d2c4f19aef1,RET LCN Nebbiolo,4.000000282989E+017,,35,3/10/2023,No,No,,
4.00000038743222E+017,000faf48-477e-4778-a66a-8365159819ca,Fennochio Spetacol Nebbiolo,4.00000038743222E+017,,35,2/16/2024,No,No,,
4.00000001599466E+017,0016ec51-80a2-4d1d-a923-94a462a82cd0,RET Lapierre Pacalet Julienas 17,4.00000001599466E+017,,36,6/24/2019,No,No,,
4.00000000418321E+017,00179efd-bf92-4d8a-82d3-1b9d13ab9244,Regular,4.00000000418321E+017,,22,2/4/2019,No,Yes,,
4.00000002279414E+017,001f3e91-e243-483f-8b6c-64209cdddc1f,Sale,4.00000002279414E+017,,35,8/29/2019,No,Yes,,
4.00000005966669E+017,002f4614-121c-4fa9-aa3c-e0f81858f49b,BTL Alfaro A Estate Chardonnay 18,4.00000005966669E+017,,42,7/20/2020,No,No,,
4.00000004460325E+017,002fcb08-691b-474f-a959-0a051dcbd105,6/+,4.00000004460325E+017,,17.22,3/6/2020,No,Yes,,
4.00000000788407E+017,003309df-a073-400a-bd3e-d6caeba407c6,BTL Tajinaste Listan Negro 17,4.00000000788407E+017,,45,3/29/2019,No,No,,
4.00000003973215E+017,003d43d0-fe9f-4353-9e86-57e07521e796,WC,4.00000003973215E+017,,46,2/3/2020,No,Yes,,
4.00000000293762E+017,003f5595-0bde-4333-aa71-7fae20834d01,Member,4.00000000293762E+017,,15,1/9/2019,No,No,,
4.00000003478959E+017,004aee49-65ab-4ece-8bf1-9ed430d334b2,RET Quintarelli Primofiore 16,4.00000003478959E+017,,69,12/23/2019,No,No,,
4.00000000195682E+017,0062e7de-540d-4a3c-9fce-1f37c10edfbe,BTL Paillard Rouge 12,4.00000000195682E+017,,70,12/14/2018,No,No,,
4.00000000195786E+017,006442a9-f6a8-469c-bd8a-2c244caf9bbe,BTL Ramey Syrah 15,4.00000000195786E+017,,56,12/14/2018,No,No,,
4.00000000195848E+017,00663245-385a-4eee-8c79-be8cd8898b84,BTL Terenzuola Merla della Miniera 15,4.00000000195848E+017,,65,12/14/2018,No,No,,
4.00000002397894E+017,007968c6-25fc-4c82-9852-fcd11907ba3f,RET St Innocent Pinot Blanc 15,4.00000002397894E+017,,0,9/9/2019,No,No,,
