Item ID,GUID,Name,Number,Imported ID,Base Price,Created Date,Archived,Modifier
400000000892154356,14616b8c-14f6-449b-acc0-653a3c86289d,Size,400000000892154357,,0.00,4/10/2019,Yes,No
400000002684679616,14845d4f-b958-498b-800e-cbe5ba849978,Size,400000002684679617,,0.00,10/7/2019,No,No
400000001738681471,148cbfef-bb6a-4780-bb22-e52a991a3b63,Size,400000001738681472,,0.00,7/8/2019,No,No
400000000268102507,14a36afb-5e32-465e-8e0c-473da3bc6b32,Crostini Mods,400000000268102508,,0.00,1/3/2019,No,No
400000001738727231,150b4f1c-c2df-4bbf-bbf2-424b646ca85a,Size,400000001738727232,,0.00,7/8/2019,No,No
400000002973797653,151b9e29-754e-4051-aef0-3f1a1defcc23,Size,400000002973797654,,0.00,11/4/2019,No,No
400000002839574361,15ac9d80-6dc0-41a4-9950-b0ba6201ac19,Size,400000002839574362,,0.00,10/22/2019,No,No
400000002078170316,1678d974-f8e9-4bbe-9d82-ac5a23d4e599,Size,400000002078170317,,0.00,8/9/2019,No,No
400000000270393213,16ed6d1d-5222-4b62-a8c3-f3a6174c3003,Size,400000000270393214,,0.00,1/3/2019,No,No
400000000267911662,17896925-f474-4131-942d-c5ba255760b0,Cut in 4,400000000267911663,,0.00,1/3/2019,No,No
400000003630004236,18291bfd-496d-43c0-af3c-a3ff9f26f208,Size,400000003630004237,,0.00,1/6/2020,No,No
400000000160209641,1874b15b-c828-4620-9fbb-3365792b76d4,Split in 2,400000000160209642,,0.00,12/3/2018,No,No
400000000270361174,1946cb99-8179-4c26-ac82-344de636bfaf,Size,400000000270361175,,0.00,1/3/2019,No,No
400000000124845266,19a0f6bc-5f7c-4c86-a5be-11b00d51eee8,Piccante Options,400000000124845267,,0.00,11/20/2018,No,No
400000003973241662,19d4367c-13e9-4848-abc9-1de48ffdefb5,Size,400000003973241663,,0.00,2/3/2020,No,No
400000002397879896,1a2a825c-f233-4625-8900-5cd52904da5c,Size,400000002397879897,,0.00,9/9/2019,Yes,No
400000000332925331,1a642dae-10da-41b8-8b51-1e9d8d894394,Size,400000000332925332,,0.00,1/18/2019,No,No
400000000270398106,1b0e423b-3e38-4c45-b6ca-6875975ed4f5,Size,400000000270398107,,0.00,1/3/2019,No,No
400000000124940873,1b78a29c-ba6d-4988-a796-5a21c5bd42d6,The Philly Options,400000000124940874,,0.00,11/20/2018,No,No
400000003259326550,1be056c3-37e4-481c-9ac0-e64eee4912c1,Size,400000003259326551,,0.00,12/3/2019,No,No
400000005140191622,1bf029e9-75d9-4e57-8fb0-f08d67f5abed,DESSERT,400000005140191623,,0.00,5/24/2020,No,No
400000003259313757,1bf0b865-9b77-4f7a-a12e-8af24ef72934,Size,400000003259313758,,0.00,12/3/2019,Yes,No
400000003630019550,1d04c063-4a87-4fb7-822d-7549d7ded39c,Size,400000003630019551,,0.00,1/6/2020,No,No
400000000267911650,1dc05ff0-15a2-49cd-adb4-030701950513,No Tomatoes,400000000267911651,,0.00,1/3/2019,No,No
400000000347321021,1dd4a84c-c894-45bd-91e7-ecfd87a7a565,Size,400000000347321022,,0.00,1/21/2019,Yes,No
400000000877584463,1dfa1651-5038-4f7b-9214-fd6dab9e12c7,Size,400000000877584464,,0.00,4/8/2019,No,No
400000000332892661,1eda2c3f-aac7-4f01-96ff-be93e08c3d56,Size,400000000332892662,,0.00,1/18/2019,No,No
400000004397099636,1f0b20a7-1171-40ae-b5be-e72c16989b2b,Size,400000004397099637,,0.00,3/2/2020,No,No
