Location,Order #,Sent Date,Modifier,Option Group Name,Parent Menu Selection,Discount,Net Price,Qty,Void?,Void Reason
Los Gatos,2,4/4/24 1:01 PM,Only Green,,3 Olive Sampler,0.00,0.00,1.0,false,
Los Gatos,2,4/4/24 1:01 PM,Mixed With Balsamic,,Garlic Chili In Oil,0.00,0.00,1.0,false,
Los Gatos,4,4/4/24 1:52 PM,Add Chicken,,Caprese Panini,0.00,0.00,1.0,false,
Los Gatos,4,4/4/24 1:52 PM,Ceasar Dressing Instead Of Pesto,,Caprese Panini,0.00,0.00,1.0,false,
Los Gatos,7,4/4/24 3:42 PM,Gf Bread,,Funghi,0.00,0.00,1.0,false,
Los Gatos,8,4/4/24 4:38 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,10,4/4/24 5:49 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,10,4/4/24 5:53 PM,Gluten Free Bread,GF Bread,Crostini Sampler,0.00,5.00,1.0,false,
Los Gatos,13,4/4/24 6:29 PM,Giardinera,,The Alba,0.00,0.00,2.0,false,
Los Gatos,15,4/4/24 6:30 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,14,4/4/24 6:43 PM,"No Truffle ,no Truffle Oil",,Mushroom Ravioli,0.00,0.00,1.0,false,
Los Gatos,20,4/4/24 7:28 PM,Gluten Free Bread,GF Bread,Funghi,0.00,5.00,1.0,false,
Los Gatos,22,4/4/24 7:41 PM,Add Red Sauce,Pasta Options,Kids Pasta,0.00,4.00,2.0,false,
Los Gatos,22,4/4/24 7:44 PM,Add Chicken,Insalate Options,Caesar,0.00,9.00,1.0,false,
Los Gatos,23,4/4/24 7:54 PM,Add Tomatoes,,DD DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,23,4/4/24 7:54 PM,Add Shrimp,Add Shrimp,DD MISTA,0.00,12.00,1.0,false,
Los Gatos,4,4/5/24 12:25 PM,No Truffle,,Ricchezza (Picollo),0.00,0.00,1.0,false,
Los Gatos,4,4/5/24 12:25 PM,No Gorgonzola,,Ricchezza (Picollo),0.00,0.00,1.0,false,
Los Gatos,4,4/5/24 12:25 PM,Include Caprino,,Ricchezza (Picollo),0.00,0.00,1.0,false,
Los Gatos,5,4/5/24 12:53 PM,Add Chicken,Insalate Options,Gorgonzola Salad,0.00,9.00,1.0,false,
Los Gatos,5,4/5/24 12:53 PM,Cut in 3,Panini Mods,Caprese Panini,0.00,0.00,1.0,false,
Los Gatos,7,4/5/24 1:00 PM,Add Chicken,Insalate Options,Caprese Insalate,0.00,9.00,1.0,false,
Los Gatos,10,4/5/24 2:06 PM,Extra Dressing,,Caesar,0.00,0.00,1.0,false,
Los Gatos,11,4/5/24 2:28 PM,No Gorgonzola,,Sinfonia (Mezzo),0.00,0.00,1.0,false,
Los Gatos,12,4/5/24 2:30 PM,Make 4,Crostini Mods,Bolzano,0.00,4.00,1.0,false,
Los Gatos,13,4/5/24 2:40 PM,Extra Pepperoncini,Tonno Salad Options,Tonno Insalate,0.00,3.00,1.0,false,
Los Gatos,18,4/5/24 4:45 PM,Arugula,,DD MISTA,0.00,0.00,1.0,false,
Los Gatos,21,4/5/24 5:23 PM,Add Anchovy,Insalate Options,Caesar,0.00,3.00,1.0,false,
Los Gatos,23,4/5/24 5:48 PM,Make 4,Crostini Mods,Funghi,0.00,4.00,1.0,false,
Los Gatos,23,4/5/24 5:56 PM,Add Anchovy,Insalate Options,Caesar,0.00,3.00,1.0,false,
Los Gatos,29,4/5/24 5:58 PM,Gluten Free Bread,GF Bread,Caprese Panini,0.00,5.00,1.0,false,
Los Gatos,31,4/5/24 6:15 PM,Add To Kids Pasta,,Sausage & Peppers,0.00,0.00,1.0,false,
Los Gatos,32,4/5/24 6:18 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,36,4/5/24 6:41 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,38,4/5/24 6:46 PM,Add Chicken,Insalate Options,Gorgonzola Salad,0.00,9.00,1.0,false,
Los Gatos,39,4/5/24 6:51 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,32,4/5/24 6:55 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,40,4/5/24 6:57 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,41,4/5/24 7:00 PM,Extra Crostini,,DD DiStefano Burrata,0.00,0.00,1.0,false,
Los Gatos,43,4/5/24 7:15 PM,Make 4,Crostini Mods,Funghi,0.00,4.00,1.0,false,
Los Gatos,43,4/5/24 7:15 PM,2 Bolzano,,Funghi,0.00,0.00,1.0,false,
Los Gatos,48,4/5/24 7:43 PM,Just Butter And Cheese,,Kids Pasta,0.00,0.00,1.0,false,
Los Gatos,46,4/5/24 7:50 PM,Pressed,,Tonno Panini,0.00,0.00,1.0,false,
Los Gatos,37,4/5/24 7:53 PM,B Day,,Tiramisu,0.00,0.00,1.0,false,
Los Gatos,50,4/5/24 8:04 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,51,4/5/24 8:16 PM,Gluten Free Bread,GF Bread,Arthur Ave,0.00,5.00,1.0,false,
Los Gatos,51,4/5/24 8:16 PM,"No Provolone Sub Montemayore ,pressed",,Arthur Ave,0.00,0.00,1.0,false,
Los Gatos,3,4/6/24 12:36 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,5,4/6/24 1:48 PM,Add Chicken,Insalate Options,Gorgonzola Salad,0.00,9.00,1.0,false,
Los Gatos,8,4/6/24 2:27 PM,No Dressing,Insalate Options,Gorgonzola Salad,0.00,0.00,3.0,false,
Los Gatos,17,4/6/24 3:52 PM,Extra Cheese Pls:),,Aglio e Olio,0.00,0.00,1.0,false,
