Item ID,GUID,Name,Number,Imported ID,Base Price,Created Date,Archived,Modifier,Parent Name,Parent Id,Parent Class
400000000192316234,0361b00c-83e4-4bd8-b486-84bcc44b84bc,Diva Sonoma Pinot Noir 16,400000000192316235,,0.00,12/13/2018,Yes,No,Red A-K,400000000186067251,MenuGroup
400000005543772221,0362b554-dd13-48a5-91ac-f5c42d0f2a55,Alma 4 BdB Brut 14,400000005543772222,,0.00,6/23/2020,Yes,No,WINE CLUB,400000000287676817,Menu
400000006002599644,036d205b-3cf0-4b6b-9132-0ad9f8bb8aab,Andrew Lane Cabernet 12,400000006002599645,,0.00,7/23/2020,Yes,No,Red A-K,400000000186067251,MenuGroup
400000019728744117,03c9e00a-e91f-4894-84b7-0897eeda2da5,Bishop's Peak Pinot Noir 21,400000019728744118,,0.00,5/5/2022,Yes,No,Red,400000000271238761,MenuGroup
400000003990734617,03cec5d6-db2d-4113-beac-d46877175147,Mira Stag's Leap Cab Sauv 14,400000003990734618,,0.00,2/5/2020,Yes,No,Red L-P,400000000268246650,MenuGroup
400000000560462453,03d38bb5-144f-40d3-a4c8-b9e9b0b67bfb,Villa Creek Grenache Blanc 17,400000000560462454,,0.00,2/28/2019,Yes,No,White,400000000186067255,MenuGroup
400000008959283622,03dc0859-182b-43b7-8b75-1b981671d7a2,Chateau Puy Servan Merlot,400000008959283623,,0.00,1/20/2021,No,No,WINE CLUB,400000000287676817,Menu
400000008126614771,03e34b32-d2bc-4ead-934b-11d8931bf199,Poggio Solilu MOscato,400000008126614772,,0.00,11/23/2020,No,No,WINE CLUB,400000000287676817,Menu
400000001823867669,03ee5178-9ec5-424b-9ffa-b2cff06cfe1b,Pasta/Entrees,400000001823867670,,0.00,7/16/2019,No,No,DOOR DASH,400000001823847171,Menu
400000002409643070,03eec178-e12d-42a8-ae44-866fb7376910,Gimonnet BdB 1er Cru NV,400000002409643071,,0.00,9/11/2019,Yes,No,Bubbles,400000000186067099,MenuGroup
400000002617584954,03f021e2-02f1-47f4-a91f-52c43c8c0dd1,l'Arco Rubeo Rosso,400000002617584955,,0.00,10/1/2019,Yes,No,l'Arco,400000002617572425,MenuGroup
400000004647349044,03f6d465-86ef-4692-b263-906d0d484a01,GiaDomella Cabernet 04 BTL,400000004647349045,,0.00,3/23/2020,Yes,No,GiaDomella Cabernet 04,400000004647338359,MenuGroup
400000002361069579,040041ab-ce44-48fd-926f-04a58a1803b8,Tickets,400000002361069580,,0.00,9/6/2019,No,No,Brisket & Big Reds,400000002361064806,Menu
400000026158932992,040392a9-4793-4cda-9fc1-5d686c6d1ba8,Jilguerin Ribera del Duero 21,400000026158932993,,0.00,12/23/2022,Yes,No,Red,400000000271238761,MenuGroup
400000000268254292,0408e987-08c9-44de-a5e1-2472f594e485,Le Salette Pergole Vece Recioto 04,400000000268254293,,0.00,1/3/2019,Yes,No,Red L-P,400000000268246650,MenuGroup
400000007807582523,0409b95c-a2b3-4a66-95f6-0da9a6ba1f20,Raventos i Blanc Blanc de Blancs 17,400000007807582524,,0.00,11/4/2020,Yes,No,Bubbles,400000000186067099,MenuGroup
400000000192316482,0419ef7e-3b31-475f-a631-684e9883c438,*Palazzo Vecchio Dogana Rosso 16,400000000192316483,,0.00,12/13/2018,Yes,No,Red A-K,400000000186067251,MenuGroup
400000002353732896,0441c081-dc44-42d7-9372-d9e7b0e812b4,Mikulski Aligote 15,400000002353732897,,0.00,9/5/2019,Yes,No,White,400000000186067255,MenuGroup
400000039338792848,045578b5-9779-485b-9528-2cafdbe998cc,Sylvain Dussort Bourgogne Blanc 17,400000039338792849,,0.00,3/7/2024,No,No,White,400000000186067255,MenuGroup
400000000192316242,045b301b-d0cc-4ed1-bd06-70b94f9a58d1,Domaine Eden Pinot 16,400000000192316243,,0.00,12/13/2018,Yes,No,Red A-K,400000000186067251,MenuGroup
