Item ID,GUID,Name,Number,Imported ID,Base Price,Created Date,Archived,Modifier
400000001473884869,07f77d21-3f6e-45c8-b7f5-ededdea0c5dd,Sale,400000001473884872,,25.00,6/12/2019,No,No
400000000415104780,0809f1cc-d285-4194-b58d-26edb5399adb,WC Price,400000000415104783,,19.00,2/4/2019,No,No
400000002839644108,082c81d7-3683-4292-87cb-a3e05e6adfb3,Sale,400000002839644111,,29.75,10/22/2019,No,No
400000004460585437,084f7aba-f746-4c24-8876-3a43132ddb8e,6/+,400000004460585440,,18.86,3/6/2020,No,No
400000001738733921,0852d78b-4542-472d-8d08-85c7bfe6d457,WC,400000001738733924,,48.00,7/8/2019,No,No
400000003930458213,086973cf-1148-433d-97b6-d418f19532bc,Regular,400000003930458216,,24.00,1/31/2020,No,No
400000000268111773,08cb4d5a-f5eb-4993-892a-bbd9fc999847,Add Meat,400000000268111776,,3.00,1/3/2019,No,No
400000003250744920,09519a37-98a4-4bae-9d33-8babebb08130,Regular,400000003250744923,,24.00,12/2/2019,No,No
400000003971880090,095406db-36c7-4921-a62e-bc16432f840f,Sale 20%,400000003971880093,,30.40,2/3/2020,No,No
400000001121748902,09772b90-6361-4f7c-9409-8aeddba057af,6+,400000001121748905,,36.00,5/6/2019,No,No
400000023375793280,09944743-e635-4f0a-85d5-d63959f2c8eb,No Parmigiano Reggiano,400000023375793283,,0.00,9/12/2022,No,No
400000023375728518,099aed70-ae73-445e-8b1e-147a379b33e3,No Pesto,400000023375728521,,0.00,9/12/2022,No,No
400000008370030863,09a399f0-1888-4788-8f8c-a8da0714b121,AGLIO E OLIO,400000008370030866,,0.00,12/11/2020,No,No
400000001568686420,09ca5b75-235a-4542-97e1-166a73c4c1b5,Sale,400000001568686423,,22.00,6/21/2019,No,No
400000004461227465,09df3005-d8b1-4cb0-b019-b2e5fc0f273e,6/+,400000004461227468,,24.60,3/6/2020,No,No
400000003250738274,09e2ea9e-6e94-4550-897e-e64ccddd2a27,WC,400000003250738277,,39.00,12/2/2019,No,No
400000002839655783,0a0d6919-a8ba-4f20-ae33-33ae79fba5dc,Sale,400000002839655786,,23.80,10/22/2019,No,No
400000001738745733,0a43639f-1a7a-491b-86bb-39fac1c54e14,WC,400000001738745736,,35.00,7/8/2019,No,No
400000003250876210,0a45133c-49ae-47b0-a46b-6fd24efa947f,Regular,400000003250876213,,45.00,12/2/2019,No,No
400000000418307797,0a691340-d367-4653-8d6a-fc11a146ae8d,WC,400000000418307900,,26.00,2/4/2019,No,No
